symbol,exchange,name,country,data,updated_at,fund_score
001540,KQ,,,"{""eps"": 869.2183, ""name"": ""AHN-GOOK PHARMACEUTICAL Co., Ltd."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 9.134644312021502, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 90468305626.0, ""dividendYield"": 5.5}",2026-01-13 11:12:58.570997+00,
001550,KQ,,,"{""eps"": 213.3013, ""name"": ""Chobi Co., Ltd."", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 51.945299911439825, ""industry"": ""Chemicals: Agricultural"", ""marketCap"": 57525457020.0, ""dividendYield"": null}",2026-01-13 11:12:58.802349+00,
001560,KQ,,,"{""eps"": 2091.8181, ""name"": ""CHEILGRINDING WHEEL INDUSTRIAL Co., Ltd."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 4.531942810897372, ""industry"": ""Industrial Machinery"", ""marketCap"": 62908317332.0, ""dividendYield"": 3.329865}",2026-01-13 11:12:59.032849+00,
001620,KQ,,,"{""eps"": 243.627, ""name"": ""KBI DONGKOOK IND CO., LTD."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 2.0826587879769036, ""industry"": ""Auto Parts: OEM"", ""marketCap"": 54088412476.0, ""dividendYield"": null}",2026-01-13 11:13:02.778141+00,
001630,KQ,,,"{""eps"": 7293.5594, ""name"": ""Chong Kun Dang Holdings Co., Ltd."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 6.101273405684473, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 214463143682.0, ""dividendYield"": 3.1145718}",2026-01-13 11:13:02.162964+00,
001680,KQ,,,"{""eps"": 2313.4805, ""name"": ""Daesang Corporation"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 9.379806745723597, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 761365165091.0, ""dividendYield"": 4.0963855}",2026-01-13 11:13:01.911542+00,
001685,KQ,,,"{""eps"": 2313.4805, ""name"": ""Daesang Corporation Pfd Registered Shs Non-Voting"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 7.395783106881601, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 761365165091.0, ""dividendYield"": 5.0827427}",2026-01-13 11:13:02.556184+00,
001750,KQ,,,"{""eps"": 4222.9001, ""name"": ""HANYANG SECURITIES Co., Ltd."", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 4.432972496791956, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 237132583666.0, ""dividendYield"": 4.5748115}",2026-01-13 11:13:02.358212+00,
001755,KQ,,,"{""eps"": 4222.9001, ""name"": ""Hanyang Securities Co Ltd Pfd Registered Shs Non-Voting"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 4.36666735260917, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 237132583666.0, ""dividendYield"": 4.5748115}",2026-01-13 11:13:05.114473+00,
001770,KQ,,,"{""eps"": 3841.5999, ""name"": ""SHIN HWA DYNAMICS CO.,LTD"", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": 4.578821443638626, ""industry"": ""Steel"", ""marketCap"": 21430449371.0, ""dividendYield"": 0.563063}",2026-01-13 11:13:05.526604+00,
001780,KQ,,,"{""eps"": 121.1377, ""name"": ""Aluko Co., Ltd."", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": 17.624571046007972, ""industry"": ""Aluminum"", ""marketCap"": 205279878845.0, ""dividendYield"": null}",2026-01-13 11:13:04.4884+00,
001790,KQ,,,"{""eps"": 655.1966, ""name"": ""TS Corporation"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 4.2353699637635485, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 239321308136.0, ""dividendYield"": 4.4117646}",2026-01-13 11:13:04.69771+00,
001795,KQ,,,"{""eps"": 655.1966, ""name"": ""TS Corporation Pfd Non-Voting"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 3.823279913235203, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 239321308136.0, ""dividendYield"": 4.4117646}",2026-01-13 11:13:04.899195+00,
001800,KQ,,,"{""eps"": 2711.0813, ""name"": ""ORION Holdings Corporation"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 7.299670430392479, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 1183281391220.0, ""dividendYield"": 4.096262}",2026-01-13 11:13:07.554195+00,
001810,KQ,,,"{""eps"": 21.5018, ""name"": ""Moorim SP Co., Ltd."", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 67.85478425062088, ""industry"": ""Pulp & Paper"", ""marketCap"": 32342888615.0, ""dividendYield"": 0.6752194}",2026-01-13 11:13:08.238772+00,
001820,KQ,,,"{""eps"": 1485.2099, ""name"": ""SAMWHA CAPACITOR CO., LTD."", ""sector"": ""Electronic Technology"", ""country"": ""South Korea"", ""peRatio"": 19.55952488601106, ""industry"": ""Electronic Components"", ""marketCap"": 299621190643.0, ""dividendYield"": 1.7636684}",2026-01-13 11:13:08.016905+00,
