symbol,exchange,name,country,data,updated_at,fund_score
OEST,BA,,,"{""eps"": 191.178, ""name"": ""Grupo Concesionario del Oeste SA Class B"", ""sector"": ""Industrial Services"", ""peRatio"": 4.799192375691764, ""industry"": ""Engineering & Construction"", ""marketCap"": 147200001404.0, ""dividendYield"": null}",2026-01-13 21:11:27.592286+00,
OFH,EGX,O B Financial Holding,,"{""eps"": null, ""name"": ""O B Financial Holding"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/orascom-financial.svg"", ""peRatio"": null, ""industry"": ""Financial Conglomerates"", ""marketCap"": 2455860508.0, ""dividendYield"": null}",2026-01-14 19:03:51.895767+00,
OIH,EGX,Orascom Investment Holding SAE,,"{""eps"": null, ""name"": ""Orascom Investment Holding SAE"", ""sector"": ""Communications"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/orascom-investment.svg"", ""peRatio"": null, ""industry"": ""Wireless Telecommunications"", ""marketCap"": 6137457578.0, ""dividendYield"": null}",2026-01-14 19:03:43.123974+00,
OLFI,EGX,Obour Land for Food Industries,,"{""eps"": null, ""name"": ""Obour Land for Food Industries"", ""sector"": ""Consumer Non-Durables"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/obour-land-for-food-industries.svg"", ""peRatio"": null, ""industry"": ""Food: Meat/Fish/Dairy"", ""marketCap"": 9580000305.0, ""dividendYield"": 8.281573}",2026-01-14 19:03:56.779104+00,
ORAS,EGX,Orascom Construction Plc,,"{""eps"": 72.607782, ""name"": ""Orascom Construction Plc"", ""sector"": ""Industrial Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/orascom-construction-plc.svg"", ""peRatio"": 5.60545975636606, ""industry"": ""Engineering & Construction"", ""marketCap"": 48601161522.52712, ""dividendYield"": 5.6194987}",2026-01-14 19:03:41.82109+00,
ORHD,EGX,,,"{""eps"": 4.7379, ""name"": ""Orascom Development Egypt (S.A.E)"", ""sector"": ""Consumer Durables"", ""peRatio"": 4.875577787627431, ""industry"": ""Homebuilding"", ""marketCap"": 26916573687.0, ""dividendYield"": 1.614221}",2026-01-13 21:18:46.932723+00,
ORWE,EGX,,,"{""eps"": 3.0243, ""name"": ""Oriental Weavers Carpet"", ""sector"": ""Consumer Durables"", ""peRatio"": null, ""industry"": ""Home Furnishings"", ""marketCap"": 15230955514.0, ""dividendYield"": 6.9869}",2026-01-13 21:18:47.840514+00,
OXY,BA,,,"{""eps"": 346.1862, ""name"": ""Occidental Petroleum Corporation Shs Cert Deposito Arg Repr 0.2 Sh"", ""sector"": ""Energy Minerals"", ""peRatio"": 39.82255642874184, ""industry"": ""Integrated Oil"", ""marketCap"": 61803511883994.13, ""dividendYield"": 1.5138129}",2026-01-13 21:11:27.127632+00,
PACH,EGX,,,"{""eps"": 1.08, ""name"": null, ""country"": ""Egypt"", ""peRatio"": 21.25, ""currency"": ""EGP"", ""marketCap"": 1680000000.0}",2026-01-14 17:12:57.671848+00,
PAMP,BA,,,"{""eps"": 274.0777, ""name"": ""Pampa Energia SA"", ""sector"": ""Utilities"", ""peRatio"": 18.31597390083177, ""industry"": ""Electric Utilities"", ""marketCap"": 6913048355713.0, ""dividendYield"": null}",2026-01-13 21:11:26.906276+00,
PATA,BA,,,"{""eps"": 53.2493, ""name"": ""Importadora y Exportadora de la Patagonia SA Class B"", ""sector"": ""Retail Trade"", ""peRatio"": 25.821935687417486, ""industry"": ""Food Retail"", ""marketCap"": 708307639771.0, ""dividendYield"": 1.0966177}",2026-01-13 21:11:27.354732+00,
PBR,BA,,,"{""eps"": 1559.3386977348066, ""name"": ""Petroleo Brasileiro SA Petrobras ADR Cert Deposito Arg Repr 1 ADR"", ""sector"": ""Energy Minerals"", ""peRatio"": 12.075653505243178, ""industry"": ""Integrated Oil"", ""marketCap"": 108751726864916.28, ""dividendYield"": 0.0}",2026-01-13 21:11:31.782002+00,
PBRD,BA,Petroleo Brasileiro SA Petrobras ADR Cert Deposito Arg Repr 1 ADR,,"{""eps"": 1559.3386981714214, ""name"": ""Petroleo Brasileiro SA Petrobras ADR Cert Deposito Arg Repr 1 ADR"", ""sector"": ""Energy Minerals"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/brasileiro-petrobras.svg"", ""peRatio"": 11.55931951800667, ""industry"": ""Integrated Oil"", ""marketCap"": 112513485280252.23, ""dividendYield"": 0.0}",2026-01-20 09:17:58.374685+00,
PCAR,BA,PACCAR Inc Shs Cert.Deposito Arg.Repr. 0.3333 Shs,,"{""eps"": 1915.8234, ""name"": ""PACCAR Inc Shs Cert.Deposito Arg.Repr. 0.3333 Shs"", ""sector"": ""Producer Manufacturing"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/paccar.svg"", ""peRatio"": 31.71466195752306, ""industry"": ""Trucks/Construction/Farm Machinery"", ""marketCap"": 91185693440629.48, ""dividendYield"": 1.0406836}",2026-01-20 09:17:58.125676+00,
PETR3,BA,Petroleo Brasileiro SA CEDEAR,,"{""eps"": 1305.9844, ""name"": ""Petroleo Brasileiro SA CEDEAR"", ""sector"": ""Energy Minerals"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/brasileiro-petrobras.svg"", ""peRatio"": 7.362262520134237, ""industry"": ""Integrated Oil"", ""marketCap"": 112513485295554.08, ""dividendYield"": 0.0}",2026-01-20 09:17:57.909201+00,
PFE,BA,,,"{""eps"": 508.819, ""name"": ""Pfizer Inc Shs Cert Deposito Arg Repr 0.25 Shs"", ""sector"": ""Health Technology"", ""peRatio"": 18.9127845090172, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 210980663173274.56, ""dividendYield"": 6.5245495}",2026-01-13 21:11:32.014388+00,
